loss,val_loss,lr
0.7392325083006032,0.5660926349785017,0.0003
0.28045515628838086,0.5456958827765092,0.0003
0.24720824917754794,0.510785030282062,0.0003
0.21506684858210479,0.4839406130106553,0.0003
0.1942628772009777,0.45988459302031476,0.0003
0.18208752912056597,0.43068941650183307,0.0003
0.16814167795207682,0.4610927700996399,0.0003
0.16178058165632472,0.43694720708805584,0.0003
0.14956497500025773,0.3917396496171537,0.0003
0.1489135616612208,0.3999569636324178,0.0003
0.13331800913791866,0.3933601781078007,0.0003
0.13359868566540978,0.3962533590586289,0.0003
0.13092510152278067,0.3801934732043225,0.0003
0.12695734646124177,0.40442894463953766,0.0003
0.12665741520497617,0.37161769426387287,0.0003
0.12232594920581655,0.351236914810927,0.0003
0.1145130805906993,0.3742626322352368,0.0003
0.11412874190726235,0.3638145806996719,0.0003
0.1080212921517182,0.3492274984069493,0.0003
0.11443700933758216,0.36765688269034674,0.0003
0.10970238926289957,0.36412701788155927,0.0003
0.11208106097588434,0.35130834061166516,0.0003
0.10425939952035117,0.35042430136514746,0.0003
0.1076528687808144,0.3431531916493955,0.0003
0.10931279163666163,0.3389797949272653,0.0003
0.1064928095740608,0.33616664616957953,0.0003
0.10046720891436443,0.33539882691010187,0.0003
0.0974724879488349,0.32112001465714496,0.0003
0.1032830268097452,0.3323165916878244,0.0003
0.09829474069602505,0.3264444975749306,0.0003
0.09632076761579211,0.324230230372885,0.0003
0.0972409072461762,0.3293973051983377,0.0003
0.09262446828092201,0.32967290152674134,0.0003
0.09714597245513261,0.32635611166124756,0.0003
0.09054354564109936,0.33566284957139386,0.0003
0.09642567207353024,0.326674311057381,0.0003
0.09225661707216803,0.31963320400403894,0.0003
0.0905140954647449,0.32949902959491895,0.0003
0.09476345439170357,0.32697174471357593,0.0003
0.08939443152586493,0.3169966029084247,0.0003
0.0867712610530891,0.3273424726465474,0.0003
0.09035872357979982,0.3127431688101395,0.0003
0.09152213146886494,0.32364348743272864,0.0003
0.08725165034632516,0.3115413227806921,0.0003
0.0890869054401034,0.3176746912624525,0.0003
0.08741212922702485,0.3212065217287644,0.0003
0.08821904362191128,0.31805301490037335,0.0003
0.08963425641384305,0.3146302026251088,0.0003
0.08722349266887089,0.31748810021773627,0.0003
0.08577501507405239,0.31597085750621295,0.0003
