Percentage,Horizon,Mean,Std. Dev,Max,Min,List
90,500,0.9155832568936635,0.016495300934633354,0.9363932789038345,0.8941419597329475,"[0.8941419597329475, 0.9363932789038345, 0.9132272922315536, 0.932204271722521, 0.9019494818774605]"
90,1000,0.912477951880251,0.013841534067244036,0.9363932789038345,0.8941419597329475,"[0.8941419597329475, 0.9363932789038345, 0.9132272922315536, 0.932204271722521, 0.9019494818774605, 0.9060798168780553, 0.9034146473518614, 0.916521042730596, 0.8970200110340172, 0.9238277163396622]"
90,1500,0.9111822906555677,0.01270932704480898,0.9363932789038345,0.8941419597329475,"[0.8941419597329475, 0.9363932789038345, 0.9132272922315536, 0.932204271722521, 0.9019494818774605, 0.9060798168780553, 0.9034146473518614, 0.916521042730596, 0.8970200110340172, 0.9238277163396622, 0.8966679018660738, 0.9190620194332916, 0.9202051612493541, 0.9065376903664261, 0.9004820681158604]"
90,2000,0.9077620923936722,0.012732437035919331,0.9363932789038345,0.8906872495857515,"[0.8941419597329475, 0.9363932789038345, 0.9132272922315536, 0.932204271722521, 0.9019494818774605, 0.9060798168780553, 0.9034146473518614, 0.916521042730596, 0.8970200110340172, 0.9238277163396622, 0.8966679018660738, 0.9190620194332916, 0.9202051612493541, 0.9065376903664261, 0.9004820681158604, 0.9013008011499373, 0.8991816637004174, 0.893023679266203, 0.8906872495857515, 0.9033140943376179]"
