Percentage,Horizon,Mean,Std. Dev,Max,Min,List
50,500,0.9110548561742714,0.0042796485615804545,0.9155289124119348,0.9053888931586177,"[0.9122257756537037, 0.9053888931586177, 0.9067015573055685, 0.9155289124119348, 0.9154291423415327]"
50,1000,0.9143368661860716,0.007311000733342341,0.9325663333675441,0.9053888931586177,"[0.9122257756537037, 0.9053888931586177, 0.9067015573055685, 0.9155289124119348, 0.9154291423415327, 0.9325663333675441, 0.9197582359610934, 0.9122871505878875, 0.9095398831739128, 0.9139427778989218]"
50,1500,0.9138119968215999,0.008334059969875813,0.9325663333675441,0.8987151125934116,"[0.9122257756537037, 0.9053888931586177, 0.9067015573055685, 0.9155289124119348, 0.9154291423415327, 0.9325663333675441, 0.9197582359610934, 0.9122871505878875, 0.9095398831739128, 0.9139427778989218, 0.9126248635888304, 0.9295447299957854, 0.9085728580216409, 0.9143537262636146, 0.8987151125934116]"
50,2000,0.8961291940260538,0.034452181695984095,0.9325663333675441,0.8256383361526698,"[0.9122257756537037, 0.9053888931586177, 0.9067015573055685, 0.9155289124119348, 0.9154291423415327, 0.9325663333675441, 0.9197582359610934, 0.9122871505878875, 0.9095398831739128, 0.9139427778989218, 0.9126248635888304, 0.9295447299957854, 0.9085728580216409, 0.9143537262636146, 0.8987151125934116, 0.8987368159720344, 0.8272653576596463, 0.8256383361526698, 0.8359754917846257, 0.8277879266281004]"
