Percentage,Horizon,Mean,Std. Dev,Max,Min,List
30,500,0.9123414925951645,0.008290326205092726,0.9240775422066959,0.9033198561370839,"[0.9240775422066959, 0.9204258212226231, 0.9075978566687044, 0.9062863867407148, 0.9033198561370839]"
30,1000,0.8866885251537251,0.03576400835213502,0.9240775422066959,0.8062891877091048,"[0.9240775422066959, 0.9204258212226231, 0.9075978566687044, 0.9062863867407148, 0.9033198561370839, 0.8990415910331634, 0.8931414206024377, 0.8650956281380076, 0.8416099610787148, 0.8062891877091048]"
30,1500,0.8622403995108002,0.045912037433408485,0.9240775422066959,0.795713882456565,"[0.9240775422066959, 0.9204258212226231, 0.9075978566687044, 0.9062863867407148, 0.9033198561370839, 0.8990415910331634, 0.8931414206024377, 0.8650956281380076, 0.8416099610787148, 0.8062891877091048, 0.801939046586764, 0.8290022256177191, 0.8278175673288181, 0.8122480191348861, 0.795713882456565]"
30,2000,0.830108162144722,0.06911043553661411,0.9240775422066959,0.7034539086300217,"[0.9240775422066959, 0.9204258212226231, 0.9075978566687044, 0.9062863867407148, 0.9033198561370839, 0.8990415910331634, 0.8931414206024377, 0.8650956281380076, 0.8416099610787148, 0.8062891877091048, 0.801939046586764, 0.8290022256177191, 0.8278175673288181, 0.8122480191348861, 0.795713882456565, 0.7636859613402954, 0.7431527939172966, 0.7316233896776997, 0.7266411966671277, 0.7034539086300217]"
